Site,SubSite,CaptureDate,Species,IndividualID,Sex,MassG,SVLmm,BdSample,SwabLost,SwabID,BdResult,TargetCopies/swab,HgSampleID,Notes,potential_injury_effect,flagged,reason,dead
LostHorse,1,5/6/21,RALU,900111880425615,M,16,52,Y,0,2100400248,neg,0,21ARMI1042,Gave RR2,0,0,,
LostHorse,1,5/6/21,RALU,900111880425619,M,13.9,54,Y,0,2100400249,pos,19.4902080193715,21ARMI1059,Gave RR2,0,0,,
LostHorse,1,5/6/21,RALU,900111880425575,M,11.6,51,Y,0,2100400250,pos,14235.9212744012,,Has RR2,0,0,,
LostHorse,1,5/6/21,RALU,900111880425801,F,30.4,70,Y,0,2100400251,pos,3826.50746516684,,Has LR2,0,0,,
LostHorse,1,4/29/21,RALU,900111880425759,F,33.7,71,Y,0,2100400252,pos,21928.8094529782,,Has LR2,0,0,,
LostHorse,1,5/6/21,RALU,900111880425819,F,32.6,71,Y,0,2100400253,pos,27253.4622879405,,Has LR2,0,0,,
LostHorse,1,5/6/21,RALU,900111880425545,M,14.4,57,Y,0,2100400254,pos,1793.54021017236,,Has RR2,0,0,,
LostHorse,1,5/6/21,RALU,900111880425603,M,14.4,58,Y,0,2100400255,pos,22504.065571296,21ARMI1063,Gave RR2,0,0,,
LostHorse,1,5/6/21,RALU,900111880425553,M,16.4,55,Y,0,2100400256,pos,128176.958954472,21ARMI1044,Gave RR2,0,0,,
LostHorse,1,4/29/21,RALU,900111880425598,F,26.5,66,Y,0,2100400257,pos,1485.02649279798,21ARMI1028,Gave RR2,0,0,,
LostHorse,1,5/6/21,RALU,900111880425601,F,33.3,72,Y,0,2100400258,pos,65375.6114966205,21ARMI1056,Gave RR2,0,0,,
LostHorse,1,5/6/21,RALU,900111880425455,F,26.7,69,Y,0,2100400259,pos,331.856207587978,,Has LR2,0,0,,
LostHorse,1,4/29/21,RALU,900111880425763,F,31.4,76,Y,0,2100400260,pos,7172.39762982319,21ARMI1031,"Gave RR2, Looks like LR2 may have been clipped prior",0,0,,
