Site,SubSite,CaptureDate,Species,IndividualID,SVLmm,Sex,Age,MassG,BdSample,SwabLost,SwabID,BdResult,TargetCopies/swab,HgSampleID,Notes,potential_injury_effect,flagged,reason,dead
SMNWR_E,SMNWR1601,10/29/2017,AMCI,AC-210,71,F,A,8.02,Y,1,1603000417,,,,Gravid,0,0,,
SMNWR_W,SMNWR3001,12/5/2020,AMCI,UNK20-001,57,F,A,7.97,Y,0,1903700394,neg,0,,Recapture; Gravid; can only ID to year 19/20 from cohort mark,0,0,,
SMNWR_E,SMNWR0145,11/21/2017,AMCI,AC-237,65,F,A,7.96,N,1,1603000237,,,,Gravid,0,0,,
SMNWR_W,SMNWR3001,11/21/2017,AMCI,AC-241,64,F,A,7.94,N,,,,,,Gravid,0,0,,
SMNWR_W,SMNWR3001,11/22/2017,AMCI,AC-244,63,F,A,7.68,N,,,,,,Gravid; 11/23/17: RECAPTURED AND TAGGED,0,0,,
SMNWR_E,SMNWR1601,11/21/2017,AMCI,AC-235,65,F,A,7.50,Y,1,1603000234,,,,Gravid,0,0,,
SMNWR_E,SMNWR1601,12/1/2020,AMCI,AC-098,66,F,A,7.31,Y,0,1903700393,neg,0,,RecaptureGravid,0,0,,
SMNWR_E,SMNWR0145,11/3/2017,AMCI,AC-216,57,F,A,7.31,N,1,1603000424,,,,Gravid,0,0,,
SMNWR_E,SMNWR0145,10/29/2017,AMCI,AC-208,65,F,A,7.30,N,1,1603000413,,,,Gravid,0,0,,
SMNWR_E,SMNWR1601,2/12/2018,AMCI,AC-284,66,U,A,7.19,Y,1,1702000006,,,,notably fat tail with 2 small notches,1,0,,
SMNWR_E,SMNWR1601,11/30/2020,AMCI,AC-525,64,F,A,7.15,Y,0,1903700392,neg,0,,Gravid,0,0,,
SMNWR_E,SMNWR1601,10/25/2017,AMCI,AC-185,68,M,A,7.08,Y,1,1603000473,,,,,0,0,,
