Site,SubSite,CaptureDate,Species,IndividualID,Sex,SVLmm,Age,MassG,BdSample,SwabLost,SwabID,BdResult,TargetCopies/swab,HgSampleID,Notes,potential_injury_effect,flagged,reason,dead
ThreeCreeks,2,9/18/19,RACA,985153000402037,2,83.00,A,61.00,Y,0,1801400012,pos,1547.00221055435,19ARMI2658,Other veg- duckweed,0,0,,
DilmanMeadows,2,9/24/19,RAPR,982126056701421,2,53.00,A,14.00,Y,0,1801100074,pos,148.199372534654,19ARMI2679,,0,0,,
DilmanMeadows,2,8/13/19,RAPR,982126052706912,2,48.00,A,11.00,N,0,1801100267,pos,,19ARMI2680,,0,1,pos with no copies/swab,
DilmanMeadows,2,8/13/19,RAPR,982126053022068,2,46.00,SA,10.00,N,0,1801100263,pos,,19ARMI2683,,0,1,pos with no copies/swab,
DilmanMeadows,2,9/25/19,RAPR,982126056701377,2,47.00,A,11.00,Y,0,1801100126,pos,16.459702410855,19ARMI2688,,0,0,,
DilmanMeadows,2,8/13/19,RAPR,982126053061660,99,49.00,,11.00,N,0,1801100268,pos,,19ARMI2691,,0,1,pos with no copies/swab,
DilmanMeadows,2,9/24/19,RAPR,982126056701425,2,48.00,A,8.00,Y,0,1801100073,pos,246.389242417234,19ARMI2696,,0,0,,
DilmanMeadows,2,8/13/19,RAPR,989001002932174,2,66.00,A,32.50,N,0,1801100266,pos,,19ARMI2706,Dom veg=rock,0,1,pos with no copies/swab,
DilmanMeadows,2,9/24/19,RAPR,982126056702442,2,58.00,A,14.00,Y,0,1801100071,pos,1150.15036544374,19ARMI2709,,0,0,,
DilmanMeadows,2,8/13/19,RAPR,982126052700254,99,49.00,A,12.00,N,0,1801100264,pos,,19ARMI2710,,0,1,pos with no copies/swab,
DilmanMeadows,2,9/24/19,RAPR,989001006896324,2,68.00,A,29.00,Y,0,1801100072,pos,121.128540191795,19ARMI2717,,0,0,,
DilmanMeadows,2,8/13/19,RAPR,982126053081585,2,60.00,A,24.00,N,0,1801100262,pos,,19ARMI2719,,0,1,pos with no copies/swab,
DilmanMeadows,2,9/25/19,RAPR,982126056701383,2,46.00,A,9.00,Y,0,1801100095,pos,3373.28192245797,19ARMI2720,,0,0,,
DilmanMeadows,2,8/14/19,RAPR,982126052289182,2,51.00,A,9.00,N,0,1801100234,pos,,19ARMI2724,,0,1,pos with no copies/swab,
DilmanMeadows,2,9/25/19,RAPR,982126053081585,2,63.00,A,27.00,Y,0,1801100094,pos,1913.48888842972,19ARMI2732,,0,0,,
DilmanMeadows,2,8/13/19,RAPR,982000408830590,2,50.00,A,10.50,N,0,1801100265,pos,,19ARMI2736,,0,1,pos with no copies/swab,
DilmanMeadows,2,8/12/20,RAPR,982126052698231,1,54.00,A,13.50,Y,0,1903100050,pos,300.019860651756,20ARMI1167,Escaped net and recaptured with ungloved hand - rinsed in site water in net.,0,0,,
DilmanMeadows,2,9/30/20,RAPR,982126056701359,2,56.00,A,22.50,Y,0,2003100141,pos,276.651153296397,20ARMI1180,Frog was on herbaceous plants on bank.,0,0,,
DilmanMeadows,2,9/29/20,RAPR,982126059655032,99,46.00,SA,11.00,Y,0,2003100160,pos,353.327089573005,20ARMI1187,Frog was on a rock.,0,0,,
DilmanMeadows,2,9/29/20,RAPR,982126053089696,99,48.00,SA,11.00,Y,0,2003100162,pos,10743.8532368925,20ARMI1189,Veg was herbaceous vegetation.,0,0,,
DilmanMeadows,2,8/11/20,RAPR,982126053073889,99,43.00,SA,7.50,Y,0,1903100058,pos,6224.54605771705,20ARMI1192,Frog was sitting on a rock without vegetation. Frogs SUL was taken before swabbing. ,0,0,,
DilmanMeadows,2,8/12/20,RAPR,982126053077122,2,63.00,A,27.00,Y,0,1903200050,pos,930.498241987541,20ARMI1203,Frog was on herbaceous vegetation on bank.,0,0,,
DilmanMeadows,2,9/29/20,RAPR,982126056702442,2,61.00,A,23.50,Y,0,2003100150,pos,5390.92356919743,20ARMI1216,,0,0,,
ThreeCreeks,2,8/4/20,RACA,982000408830653,2,78.00,A,60.50,Y,0,1903200017,pos,85685.2653273156,20ARMI1223,,0,0,,
DilmanMeadows,2,8/11/20,RAPR,982126053014990,99,48.00,SA,10.00,Y,0,1903100057,pos,36.9580749688085,20ARMI1233,Vegetation was herbaceous veg on bank.,0,0,,
DilmanMeadows,2,9/30/20,RAPR,982126053057561,1,55.00,A,17.50,Y,0,2003100132,pos,198.791996402151,20ARMI1236,Frog was swimming in rocks. Frog had some discoloration on left tympanum.,1,0,,
DilmanMeadows,2,8/12/20,RAPR,982126056701316,2,52.00,A,13.00,Y,0,1903100047,pos,1272.19757253044,20ARMI1244,Frog was on a large rock.,0,0,,
DilmanMeadows,2,8/13/20,RAPR,982126053022068,2,53.00,A,15.00,Y,0,2003100213,pos,23141.67296877,20ARMI1250,Frog was on a mossy rock. Frog was darker than typical coloration - see photo.,0,0,,
DilmanMeadows,2,8/12/20,RAPR,982126053083660,2,63.00,A,29.00,Y,0,1903200049,pos,5685.2154444799,20ARMI1251,Frog was on a rock.,0,0,,
DilmanMeadows,2,8/12/20,RAPR,982126053033816,2,61.00,A,24.00,Y,0,1903100048,pos,289.574847707832,20ARMI1254,Frog was sitting on a large rock.,0,0,,
DilmanMeadows,2,9/29/20,RAPR,982126056701425,2,49.00,A,9.00,Y,0,2003100161,pos,2129.55761985172,20ARMI1258,,0,0,,
DilmanMeadows,2,8/13/20,RAPR,982126052294153,2,58.00,A,17.50,Y,0,2003100214,pos,719.197452755709,20ARMI1262,,0,0,,
