Site,SubSite,CaptureDate,Species,IndividualID,SVLmm,Sex,Age,MassG,BdSample,SwabLost,SwabID,BdResult,TargetCopies/sawb,HgSampleID,Notes,potential_injury_effect,flagged,reason,dead
SanFrancisquito,1,9/1/20,RADR,845296075,70.0,M,A,45.0,Y,0,1903200211,pos,11353.5494638668,,CJH20-041 -S28,0,,,
SanFrancisquito,1,9/1/20,RADR,845295886,96.0,F,A,101.0,Y,0,1903200212,pos,1464.92466261635,,CJH20-041 -S29,0,,,
SanFrancisquito,1,9/1/20,RADR,845529850,96.0,F,A,92.0,Y,0,1903200213,pos,3095.73302436524,20ARMI0902,CJH20-041 -S32,0,,,
SanFrancisquito,1,9/1/20,RADR,836515890,98.0,F,A,100.0,Y,0,1903200214,neg,0,,CJH20-041 -S33,0,,,
SanFrancisquito,1,9/1/20,RADR,044062540,80.0,M,A,60.0,Y,0,1903200215,pos,5555.00914970628,20ARMI0939,CJH20-041 -S38,0,,,
SanFrancisquito,1,9/1/20,RADR,836523609,95.0,F,A,80.0,Y,0,1903200216,pos,444539.7337573,20ARMI0945,CJH20-041 -S39,0,,,
SanFrancisquito,1,9/1/20,RADR,845528010,90.0,F,A,106.0,Y,0,1903200217,pos,2179.47325450059,20ARMI0942,CJH20-041 -S40,0,,,
SanFrancisquito,1,9/1/20,RADR,845296015,71.0,M,A,40.0,Y,0,1903200218,pos,85860.6125499844,,CJH20-041 -S41,0,,,
SanFrancisquito,1,9/1/20,RADR,845534790,104.0,F,A,107.0,Y,0,1903200219,pos,3844.80380941677,20ARMI0900,CJH20-041 -S43,0,,,
SanFrancisquito,1,9/1/20,RADR,845533273,63.0,F,A,26.0,Y,0,1903200220,pos,6946.32210136366,20ARMI0929,CJH20-041 -S44,0,,,
SanFrancisquito,1,9/1/20,RADR,842796060,73.0,M,A,41.0,Y,0,1903200221,pos,7751.79270720834,,CJH20-041 -S45,0,,,
SanFrancisquito,1,9/1/20,RADR,108001369,110.0,F,A,125.0,Y,0,1903200222,pos,1331.62798683542,20ARMI0923,CJH20-041 -S46,0,,,
SanFrancisquito,1,9/1/20,RADR,845532042,62.0,M,A,28.0,Y,0,1903200223,neg,0,20ARMI0940,CJH20-041 -S47,0,,,
SanFrancisquito,1,9/2/20,RADR,836539371,84.0,M,A,70.0,Y,0,1903200224,neg,0,20ARMI0934,CJH20-041 -S56,0,,,
SanFrancisquito,1,9/2/20,RADR,842806843,80.0,F,A,70.0,Y,0,1903200225,pos,508.407393479335,,CJH20-041 -S57,0,,,
SanFrancisquito,1,9/2/20,RADR,845263537,74.0,M,A,53.0,Y,0,1903200226,pos,48970.535440928,20ARMI0935,CJH20-041 -S58,0,,,
SanFrancisquito,1,9/2/20,RADR,845263267,85.0,M,A,65.0,Y,0,1903200227,pos,64.2275239735675,20ARMI0903,CJH20-041 -S59,0,,,
SanFrancisquito,1,9/2/20,RADR,845263562,85.0,F,A,52.0,Y,0,1903200228,pos,37312.3480385642,,CJH20-042 -S2,0,,,
SanFrancisquito,1,9/2/20,RADR,845263569,100.0,F,A,90.0,Y,0,1903200229,pos,5401.95561154295,20ARMI0919,CJH20-042 -S4,0,,,
