Site,SubSite,CaptureDate,Species,PondLocation,IndividualID,Sex,Age,SVLmm,MassG,BdSample,SwabLost,SwabID,BdResult,TargetCopies/swab,HgSampleID,Notes,potential_injury_effect,flagged,reason,dead,HP,Abundance,Area,Density,Temp,Temp_1w,Temp_2w,Temp_3w,Temp_4w,Air_Max,Air_Max1,Air_Max2,Air_Max3,Air_Max4,Site_temp,Site_temp1,Site_temp2,Site_temp3,Site_temp4
ScotiaBarrens,A11,3/18/2020,NOVI,T5,YBBOBB,M,,43,,Y,0,2001400266,neg,0,,Incorrectly ID'd as YBBOxx. 5th abd 6th position probably missing? Changed to YBBOBB based on sex and measurements.,,1,Wrong animal?,,Long,43.8555992,268.845,0.163125962,6.518491667,7.521778571,,,,4.583333333,5.403174603,,,,6.544775694,7.450321131,,,
ScotiaBarrens,SC37,3/21/2020,NOVI,D1,RRRxRB,M,,40,,Y,0,2001400325,neg,0,,"Actually a Recap, old code might have been xxOORB, now RR(RO)ORB.",,1,Wrong animal?,,Long,1919.651667,1869.461667,1.026847301,9.071145833,7.288947421,,,,2.688888889,6.220634921,,,,9.077125521,7.357579787,,,
ScotiaBarrens,SC36,5/15/2020,NOVI,NR,OOORRO,F,,44,,Y,0,2003200152,neg,0,,Incorrectly ID'd as OxORRO since never recorded as new. Changed to OOORRO.,,1,Wrong animal?,,Long,65.25544645,1758.946667,0.037099161,,,,,,19.25,7.092063492,11.52857143,9.654761905,5.149206349,11.33029271,9.019690799,11.29575211,9.323552232,7.170244742
ScotiaBarrens,A11,7/6/2020,NOVI,D4/5,YBOBBB,M,,39,,Y,0,2001700077,neg,0,,Lost 1st position mark. Not O (F) or B (caught same day). Changing to YBOBBB.,,1,Wrong animal?,,Long,43.8555992,268.845,0.163125962,22.78683333,21.6098244,19.21495685,16.78599107,17.39475595,25.39444444,23.68730159,21.58809524,19.49603175,19.30634921,22.52761545,21.62844891,19.62297966,17.61408755,18.16918031
ScotiaBarrens,SC36,7/9/2020,NOVI,NR,RRBRRO,M,,40,,Y,0,2003000136,neg,0,,Incorrectly recorded as RRBRO. Part of code not entered. Changed to RRBRRO based on sex and measurements.,,1,Wrong animal?,,Long,65.25544645,1758.946667,0.037099161,,,,,,24.95555556,24.64603175,21.88095238,20.8547619,17.92698413,23.55270023,22.62981448,20.03013674,19.20643204,17.38414236
ScotiaBarrens,SC37,5/17/2021,NOVI,,,M,,39,,Y,0,2101300110,neg,0,,May have repeated Mark when recording…BxxYOB,,1,Wrong animal?,,,,,,,,,,,,,,,,,,,,
ScotiaBarrens,A11,6/14/2021,NOVI,,YBOBBB,M,,43,,Y,0,2001400111,neg,0,,Either missing a mark or mismarked; changing to YBOBBB,,1,Wrong animal?,,,,,,,,,,,,,,,,,,,,
ScotiaBarrens,SC38,4/14/2018,NOVI,,RRRxxx,,,,,N,,,,,,changed mark from RxRx,,1,Wrong animal?,,Short,53.53724498,141.1433333,0.379311185,,,,,,27.77777778,,,,,,,,,
ScotiaBarrens,P1,6/7/2019,NOVI,D5/6,YRBBxx,F,,38,,N,,,,,,1ST MARK GIVEN BEFORE REALIZING IT WAS A RECAP. ORIGIL CODE WAS xRBBxx,,1,Wrong animal?,,Long,434.8518028,560.6216667,0.775660001,19.51879487,17.62762785,18.87517177,16.69591114,13.59249702,19.05555556,17.72777778,19.53095238,17.57698413,12.01190476,18.90558084,17.10504263,18.30957375,16.13443572,13.27999402
ScotiaBarrens,P1,6/7/2019,NOVI,D5,YYRBRR,F,,39,,N,,,,,,Incorrectly ID'd as YxRBRR. Changed to YYRBRR based on sex and measurements.,,1,Wrong animal?,,Long,434.8518028,560.6216667,0.775660001,19.51879487,17.62762785,18.87517177,16.69591114,13.59249702,19.05555556,17.72777778,19.53095238,17.57698413,12.01190476,18.90558084,17.10504263,18.30957375,16.13443572,13.27999402
