Region,State,Site,SubSite,Species,CaptureDate,PrimNum,SecNumConsec,Captures,Notes
NE,PA,ScotiaBarrens,A11,NOVI,3/27/2021,,,,
NE,PA,ScotiaBarrens,A11,NOVI,3/30/2021,,,,
NE,PA,ScotiaBarrens,A11,NOVI,4/13/2018,,,,
NE,PA,ScotiaBarrens,A11,NOVI,4/13/2021,,,,
NE,PA,ScotiaBarrens,A11,NOVI,4/14/2018,,,,
NE,PA,ScotiaBarrens,A11,NOVI,4/15/2018,,,,
NE,PA,ScotiaBarrens,A11,NOVI,4/2/2020,,,,
NE,PA,ScotiaBarrens,A11,NOVI,4/20/2018,,,,
NE,PA,ScotiaBarrens,A11,NOVI,4/24/2019,,,,
NE,PA,ScotiaBarrens,A11,NOVI,4/25/2019,,,,
NE,PA,ScotiaBarrens,A11,NOVI,4/26/2019,,,,
NE,PA,ScotiaBarrens,A11,NOVI,4/4/2019,,,,
NE,PA,ScotiaBarrens,A11,NOVI,4/6/2019,,,,
NE,PA,ScotiaBarrens,A11,NOVI,5/10/2018,,,,
NE,PA,ScotiaBarrens,A11,NOVI,5/14/2018,,,,
NE,PA,ScotiaBarrens,A11,NOVI,5/15/2020,,,,
NE,PA,ScotiaBarrens,A11,NOVI,5/17/2021,,,,
NE,PA,ScotiaBarrens,A11,NOVI,5/18/2020,,,,
NE,PA,ScotiaBarrens,A11,NOVI,5/18/2021,,,,
NE,PA,ScotiaBarrens,A11,NOVI,5/19/2020,,,,
NE,PA,ScotiaBarrens,A11,NOVI,5/20/2019,,,,
NE,PA,ScotiaBarrens,A11,NOVI,5/20/2020,,,,
NE,PA,ScotiaBarrens,A11,NOVI,5/20/2021,,,,
NE,PA,ScotiaBarrens,A11,NOVI,5/21/2019,,,,
NE,PA,ScotiaBarrens,A11,NOVI,5/21/2020,,,,
NE,PA,ScotiaBarrens,A11,NOVI,5/22/2019,,,,
NE,PA,ScotiaBarrens,A11,NOVI,5/22/2020,,,,
NE,PA,ScotiaBarrens,A11,NOVI,5/24/2019,,,,
NE,PA,ScotiaBarrens,A11,NOVI,5/24/2021,,,,
NE,PA,ScotiaBarrens,A11,NOVI,5/29/2019,,,,
NE,PA,ScotiaBarrens,A11,NOVI,6/1/2018,,,,
NE,PA,ScotiaBarrens,A11,NOVI,6/11/2020,,,,
NE,PA,ScotiaBarrens,A11,NOVI,6/14/2021,,,,
NE,PA,ScotiaBarrens,A11,NOVI,6/15/2020,,,,
NE,PA,ScotiaBarrens,A11,NOVI,6/15/2021,,,,
