Site,SubSite,Species,CaptureDate,IndividualID,Sex,Age,SVLmm,MassG,BdSample,SwabLost,SwabID,BdResult,TargetCopies/swab,HgSampleID,Notes,potential_injury_effect,flagged,reason,dead
JonesPond,1,ANBO,5/13/2021,147345171A,M,,76,41.9,Y,0,2100500328,pos,829.28,21ARMI1075,Gave LR2,0,0,,
JonesPond,1,ANBO,7/20/2021,147345171A,M,,,,N,,,,,,"Caught during RALU surveys. EMACIATED, LETHARGIC, RED VENTRAL SPLOTCHING.",1,0,,
JonesPond,1,ANBO,5/9/2019,147345286A,M,,80,52.6,Y,0,1902400153,neg,0,,,0,0,,
JonesPond,1,ANBO,5/10/2019,147345286A,M,,80,52.6,N,,,,,,,0,0,,
JonesPond,1,ANBO,5/16/2020,147345516A,M,,92,64.4,Y,0,2001800009,neg,0,,,0,0,,
JonesPond,1,ANBO,5/10/2021,147345516A,M,,84,63.8,Y,0,2100400069,pos,137.68,,Has LR2,0,0,,
JonesPond,1,ANBO,5/11/2021,147345516A,M,,87,63.3,N,,,,,,Has LR2,0,0,,
JonesPond,1,ANBO,5/13/2021,147345516A,M,,85,61.2,N,,,,,,Has LR2,0,0,,
JonesPond,1,ANBO,5/10/2019,147345516A,M,,76,53.9,Y,0,1902400165,pos,864.48,,,0,0,,
JonesPond,1,ANBO,5/3/2018,147345516A,M,,74,43.3,Y,0,1800200198,pos,13.24,18ARMI0628,,0,0,,
JonesPond,1,ANBO,5/14/2019,147345516A,M,,86,33.7,N,,,,,,"FROM 2018, FIRST CAPTURE THIS YEAR. Forgot Bd swabs so not sampled.",0,0,,
JonesPond,1,ANBO,5/17/2020,147345516A,M,,,,N,,,,,,caught on 5/16/20,0,0,,
JonesPond,1,ANBO,5/4/2018,147345516A,M,,,,N,,,,,,,0,0,,
JonesPond,1,ANBO,5/18/2020,147345516A,M,,,,N,,,,,,caught on 5/16/20,0,0,,
JonesPond,1,ANBO,5/25/2020,147345516A,M,,,,N,,,,,,caught on 5/16/20,0,0,,
JonesPond,1,ANBO,5/11/2021,147345560A,M,,87,74.3,N,,,,,,Has LR2,0,0,,
JonesPond,1,ANBO,8/16/2021,147345560A,M,,91,74.2,Y,0,2100500236,neg,0,,Caught during RALU surveys. HAD LR2,0,0,,
JonesPond,1,ANBO,5/10/2021,147345560A,M,,91,71.3,Y,0,2100400066,pos,132078.33,,"Has LR2, missing finger on right hand",0,0,,
JonesPond,1,ANBO,5/13/2021,147345560A,M,,83,70,N,,,,,,Has LR2,0,0,,
JonesPond,1,ANBO,5/16/2020,147345560A,M,,88,58.2,Y,0,2001800015,pos,24.06,20ARMI0411,,0,0,,
JonesPond,1,ANBO,5/17/2020,147345560A,M,,,,N,,,,,,caught on 5/16/20,0,0,,
JonesPond,1,ANBO,5/18/2020,147345560A,M,,,,N,,,,,,caught on 5/16/20,0,0,,
JonesPond,1,ANBO,5/25/2020,147345560A,M,,,,N,,,,,,caught on 5/16/20,0,0,,
